Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,107,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnEdit.Size = new System.Drawing.Size(82, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,107,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"this.btnEdit.Size = new System.Drawing.Size(82, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,106,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnEdit.Name = ""btnEdit"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,106,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"this.btnEdit.Name = ""btnEdit"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,105,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnEdit.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,105,12,P:System.Windows.Forms.ToolStripItem.ImageTransparentColor,,,,,this.btnEdit.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,104,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnEdit.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,104,12,P:System.Windows.Forms.ToolStripItem.Enabled,,,,,this.btnEdit.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
